Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Type,Outlet_Establishment_Year,Item_Sales
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,22330
CH05,200,High,Chicharon,185,V001,Medium,Micro Store - Main,2010,3515
CR13,85,Regular,Cracker,290,S003,Small,Micro Store C,2016,6380
CR08,1000,Regular,Cracker,150,V001,Medium,Micro Store - Main,2010,1950
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,1750
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,4930
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,4640
NS03,500,Low,Nuts,80,S003,Small,Micro Store C,2016,1840
CH05,200,High,Chicharon,185,V001,Medium,Micro Store - Main,2010,3330
BR01,400,Low,Bread,125,L002,Small,Micro Store B,2014,375
CH04,150,High,Chicharon,100,S003,Small,Micro Store C,2016,1200
NS05,500,Low,Nuts,90,V001,Medium,Micro Store - Main,2010,1710
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,2875
NS01,500,Low,Nuts,95,S003,Small,Micro Store C,2016,2755
CH04,150,High,Chicharon,100,S003,Small,Micro Store C,2016,1900
BR01,400,Low,Bread,125,V001,Medium,Micro Store - Main,2010,0
CR05,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,540
CR02,500,Regular,Cracker,98,V001,Medium,Micro Store - Main,2010,980
BI01,2000,Low,Biscuit,310,L002,Small,Micro Store B,2014,2480
BR03,450,Low,Bread,125,S003,Small,Micro Store C,2016,500
NS13,150,Low,Nuts,75,V001,Medium,Micro Store - Main,2010,450
CR11,25,Regular,Cracker,10,V001,Medium,Micro Store - Main,2010,80
CH02,100,High,Chicharon,35,V001,Medium,Micro Store - Main,2010,1470
NS05,500,Low,Nuts,90,V001,Medium,Micro Store - Main,2010,990
CR13,85,Regular,Cracker,290,L002,Small,Micro Store B,2014,2320
BI01,2000,Low,Biscuit,80,V001,Medium,Micro Store - Main,2010,480
CH06,150,High,Chicharon,90,S003,Small,Micro Store C,2016,2340
CR02,500,Regular,Cracker,98,L002,Small,Micro Store B,2014,882
BR02,480,Low,Bread,125,S003,Small,Micro Store C,2016,250
BR08,500,Low,Bread,125,V001,Medium,Micro Store - Main,2010,2750
NS11,500,Low,Nuts,100,V001,Medium,Micro Store - Main,2010,1400
BR03,450,Low,Bread,125,S003,Small,Micro Store C,2016,1125
BI01,2000,Low,Biscuit,310,V001,Medium,Micro Store - Main,2010,1240
BR08,500,Low,Bread,125,V001,Medium,Micro Store - Main,2010,750
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,112
BI01,2000,Low,Biscuit,310,S003,Small,Micro Store C,2016,1240
CR01,1000,Regular,Cracker,195,S003,Small,Micro Store C,2016,1170
NS06,1000,Low,Nuts,200,L002,Small,Micro Store B,2014,3800
NS07,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,4400
CH02,100,High,Chicharon,35,V001,Medium,Micro Store - Main,2010,210
BI02,1660,Low,Biscuit,304,L002,Small,Micro Store B,2014,1216
NS06,1000,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,3200
CH03,50,High,Chicharon,20,S003,Small,Micro Store C,2016,220
BR09,60,Low,Bread,20,V001,Medium,Micro Store - Main,2010,340
CH08,500,High,Chicharon,100,V001,Medium,Micro Store - Main,2010,600
NS04,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,765
CR06,45,Regular,Cracker,35,V001,Medium,Micro Store - Main,2010,245
CR01,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,720
CH06,150,High,Chicharon,90,L002,Small,Micro Store B,2014,450
CR01,85,Regular,Cracker,20,L002,Small,Micro Store B,2014,140
NS04,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,680
NS11,500,Low,Nuts,100,L002,Small,Micro Store B,2014,500
NS09,500,Low,Nuts,85,S003,Small,Micro Store C,2016,765
CR01,150,Regular,Cracker,35,L002,Small,Micro Store B,2014,1190
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,1500
CR08,1000,Regular,Cracker,150,V001,Medium,Micro Store - Main,2010,1350
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,290
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,15
CR13,85,Regular,Cracker,290,S003,Small,Micro Store C,2016,2900
NS03,500,Low,Nuts,80,S003,Small,Micro Store C,2016,160
NS01,500,Low,Nuts,95,S003,Small,Micro Store C,2016,1045
CH04,150,High,Chicharon,100,S003,Small,Micro Store C,2016,1000
NS02,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,255
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,2000
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,1250
BR01,400,Low,Bread,125,L002,Small,Micro Store B,2014,1250
BR06,400,Low,Bread,125,L002,Small,Micro Store B,2014,625
CH05,200,High,Chicharon,185,L002,Small,Micro Store B,2014,1295
NS01,500,Low,Nuts,95,S003,Small,Micro Store C,2016,285
NS02,500,Low,Nuts,85,L002,Small,Micro Store B,2014,425
CR01,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,1080
CR01,85,Regular,Cracker,20,L002,Small,Micro Store B,2014,200
CR01,500,Regular,Cracker,98,S003,Small,Micro Store C,2016,588
CR07,85,Regular,Cracker,20,S003,Small,Micro Store C,2016,140
CR01,150,Regular,Cracker,35,L002,Small,Micro Store B,2014,175
CR01,150,Regular,Cracker,35,V001,Medium,Micro Store - Main,2010,525
CH01,1000,High,Chicharon,190,V001,Medium,Micro Store - Main,2010,4370
CH02,100,High,Chicharon,35,V001,Medium,Micro Store - Main,2010,175
CR07,85,Regular,Cracker,20,S003,Small,Micro Store C,2016,180
NS07,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,1600
CR01,500,Regular,Cracker,98,V001,Medium,Micro Store - Main,2010,588
BR03,450,Low,Bread,125,S003,Small,Micro Store C,2016,1000
BR07,600,Low,Bread,125,S003,Small,Micro Store C,2016,875
NS03,500,Low,Nuts,80,V001,Medium,Micro Store - Main,2010,6240
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,7030
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,750
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,475
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,1000
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,360
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,1875
CR02,500,Regular,Cracker,98,L002,Small,Micro Store B,2014,784
NS03,500,Low,Nuts,80,S003,Small,Micro Store C,2016,80
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,1375
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,9860
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,300
NS03,500,Low,Nuts,80,S003,Small,Micro Store C,2016,1920
CR02,500,Regular,Cracker,98,S003,Small,Micro Store C,2016,588
CR13,85,Regular,Cracker,290,S003,Small,Micro Store C,2016,12470
CH05,200,High,Chicharon,185,V001,Medium,Micro Store - Main,2010,12025
CR02,500,Regular,Cracker,98,S003,Small,Micro Store C,2016,8526
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,1290
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,17690
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,3770
NS03,500,Low,Nuts,80,S003,Small,Micro Store C,2016,3360
NS05,500,Low,Nuts,90,V001,Medium,Micro Store - Main,2010,5220
NS05,500,Low,Nuts,90,V001,Medium,Micro Store - Main,2010,180
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,345
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,1335
BR01,400,Low,Bread,125,S003,Small,Micro Store C,2016,1250
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,2375
NS12,500,Low,Nuts,75,S003,Small,Micro Store C,2016,225
NS02,500,Low,Nuts,85,L002,Small,Micro Store B,2014,765
NS01,500,Low,Nuts,95,L002,Small,Micro Store B,2014,1235
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,11125
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,660
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,1995
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,500
BR04,380,Low,Bread,125,S003,Small,Micro Store C,2016,7125
NS02,500,Low,Nuts,85,L002,Small,Micro Store B,2014,595
CR02,500,Regular,Cracker,98,L002,Small,Micro Store B,2014,294
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,2375
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,190
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,12250
CR08,1000,Regular,Cracker,150,L002,Small,Micro Store B,2014,300
CR08,1000,Regular,Cracker,150,L002,Small,Micro Store B,2014,11700
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,11125
BR04,380,Low,Bread,125,S003,Small,Micro Store C,2016,125
NS02,500,Low,Nuts,85,L002,Small,Micro Store B,2014,510
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,77
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,9750
CR02,500,Regular,Cracker,98,L002,Small,Micro Store B,2014,686
CR01,500,Regular,Cracker,98,L002,Small,Micro Store B,2014,490
CR01,500,Regular,Cracker,98,S003,Small,Micro Store C,2016,392
CR07,85,Regular,Cracker,20,V001,Medium,Micro Store - Main,2010,140
CR12,20,Regular,Cracker,5,S003,Small,Micro Store C,2016,45
CR01,500,Regular,Cracker,98,L002,Small,Micro Store B,2014,686
CR12,20,Regular,Cracker,5,S003,Small,Micro Store C,2016,20
BR06,600,Low,Bread,125,S003,Small,Micro Store C,2016,1000
CR01,1000,Regular,Cracker,180,L002,Small,Micro Store B,2014,1620
CH02,100,High,Chicharon,35,L002,Small,Micro Store B,2014,805
CR01,85,Regular,Cracker,20,S003,Small,Micro Store C,2016,120
CH06,150,High,Chicharon,90,S003,Small,Micro Store C,2016,630
BI01,2000,Low,Biscuit,310,L002,Small,Micro Store B,2014,2170
NS13,150,Low,Nuts,75,V001,Medium,Micro Store - Main,2010,300
CH05,200,High,Chicharon,185,V001,Medium,Micro Store - Main,2010,11285
BR03,450,Low,Bread,125,L002,Small,Micro Store B,2014,4625
CR01,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,1620
NS04,500,Low,Nuts,85,L002,Small,Micro Store B,2014,340
CH03,50,High,Chicharon,20,S003,Small,Micro Store C,2016,140
BI01,2000,Low,Biscuit,310,V001,Medium,Micro Store - Main,2010,2790
NS12,500,Low,Nuts,75,L002,Small,Micro Store B,2014,5925
CR10,25,Regular,Cracker,5,L002,Small,Micro Store B,2014,685
BR09,60,Low,Bread,20,V001,Medium,Micro Store - Main,2010,180
CR13,85,Regular,Cracker,13,V001,Medium,Micro Store - Main,2010,793
BR08,500,Low,Bread,125,L002,Small,Micro Store B,2014,4625
CR11,25,Regular,Cracker,10,V001,Medium,Micro Store - Main,2010,90
CH02,100,High,Chicharon,35,L002,Small,Micro Store B,2014,1960
NS13,150,Low,Nuts,75,S003,Small,Micro Store C,2016,525
BR07,600,Low,Bread,125,S003,Small,Micro Store C,2016,10000
BI02,1660,Low,Biscuit,304,V001,Medium,Micro Store - Main,2010,2432
NS11,500,Low,Nuts,100,L002,Small,Micro Store B,2014,3400
BI01,2000,Low,Biscuit,310,S003,Small,Micro Store C,2016,2480
CR10,25,Regular,Cracker,5,V001,Medium,Micro Store - Main,2010,15
NS05,500,Low,Nuts,90,S003,Small,Micro Store C,2016,360
NS08,500,Low,Nuts,135,V001,Medium,Micro Store - Main,2010,945
BI01,2000,Low,Biscuit,310,L002,Small,Micro Store B,2014,930
CR01,150,Regular,Cracker,35,V001,Medium,Micro Store - Main,2010,175
NS08,500,Low,Nuts,135,V001,Medium,Micro Store - Main,2010,1215
CR01,1000,Regular,Cracker,180,S003,Small,Micro Store C,2016,1440
NS07,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,15600
BR06,600,Low,Bread,125,L002,Small,Micro Store B,2014,750
BR07,600,Low,Bread,125,L002,Small,Micro Store B,2014,1000
NS06,1000,Low,Nuts,200,S003,Small,Micro Store C,2016,1400
NS04,500,Low,Nuts,85,S003,Small,Micro Store C,2016,510
BI02,1660,Low,Biscuit,304,S003,Small,Micro Store C,2016,1520
CH02,100,High,Chicharon,35,L002,Small,Micro Store B,2014,245
CR01,85,Regular,Cracker,20,S003,Small,Micro Store C,2016,180
CH03,50,High,Chicharon,20,V001,Medium,Micro Store - Main,2010,140
BI02,1660,Low,Biscuit,304,V001,Medium,Micro Store - Main,2010,2128
NS12,500,Low,Nuts,75,V001,Medium,Micro Store - Main,2010,5625
CH01,1000,High,Chicharon,190,L002,Small,Micro Store B,2014,570
NS13,150,Low,Nuts,75,L002,Small,Micro Store B,2014,450
BR06,600,Low,Bread,125,V001,Medium,Micro Store - Main,2010,625
BR08,500,Low,Bread,125,V001,Medium,Micro Store - Main,2010,1125
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,455
CR13,85,Regular,Cracker,13,L002,Small,Micro Store B,2014,91
BI01,2000,Low,Biscuit,310,S003,Small,Micro Store C,2016,19840
BI03,1500,Low,Biscuit,290,L002,Small,Micro Store B,2014,290
BR08,500,Low,Bread,125,V001,Medium,Micro Store - Main,2010,250
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,583
CR14,100,Regular,Cracker,53,S003,Small,Micro Store C,2016,636
NS10,500,Low,Nuts,145,L002,Small,Micro Store B,2014,10875
CR13,85,Regular,Cracker,13,V001,Medium,Micro Store - Main,2010,52
BI01,2000,Low,Biscuit,310,S003,Small,Micro Store C,2016,1550
CR13,85,Regular,Cracker,13,S003,Small,Micro Store C,2016,65
BI01,2000,Low,Biscuit,310,V001,Medium,Micro Store - Main,2010,2170
NS10,500,Low,Nuts,145,V001,Medium,Micro Store - Main,2010,435
BR06,600,Low,Bread,125,L002,Small,Micro Store B,2014,625
BI03,1500,Low,Biscuit,290,L002,Small,Micro Store B,2014,1160
BR08,500,Low,Bread,125,L002,Small,Micro Store B,2014,11875
CR02,500,Regular,Cracker,98,S003,Small,Micro Store C,2016,5390
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,6625
CH03,50,High,Chicharon,20,V001,Medium,Micro Store - Main,2010,220
CR10,25,Regular,Cracker,5,S003,Small,Micro Store C,2016,25
CH04,150,High,Chicharon,100,V001,Medium,Micro Store - Main,2010,100
NS11,500,Low,Nuts,100,L002,Small,Micro Store B,2014,700
CR06,45,Regular,Cracker,35,L002,Small,Micro Store B,2014,210
CR07,85,Regular,Cracker,20,S003,Small,Micro Store C,2016,120
CH08,500,High,Chicharon,100,S003,Small,Micro Store C,2016,5400
BI03,1500,Low,Biscuit,290,V001,Medium,Micro Store - Main,2010,13340
NS03,500,Low,Nuts,80,L002,Small,Micro Store B,2014,3840
NS07,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,11400
NS08,500,Low,Nuts,135,S003,Small,Micro Store C,2016,7155
NS12,500,Low,Nuts,75,V001,Medium,Micro Store - Main,2010,150
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,795
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,12125
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,2775
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,609
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,24940
CR10,25,Regular,Cracker,5,V001,Medium,Micro Store - Main,2010,30
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,9310
BR01,400,Low,Bread,125,S003,Small,Micro Store C,2016,2875
CR08,1000,Regular,Cracker,150,L002,Small,Micro Store B,2014,450
CR08,1000,Regular,Cracker,150,L002,Small,Micro Store B,2014,600
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,12125
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,855
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,2703
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,18850
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,5375
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,6750
CH07,150,High,Chicharon,15,L002,Small,Micro Store B,2014,555
BR02,480,Low,Bread,125,S003,Small,Micro Store C,2016,6750
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,585
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,10440
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,8000
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,3330
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,2875
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,6875
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,3625
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,287
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,11600
BI03,1500,Low,Biscuit,290,S003,Small,Micro Store C,2016,6090
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,4125
BR02,480,Low,Bread,125,S003,Small,Micro Store C,2016,3250
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,350
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,1850
NS01,500,Low,Nuts,95,V001,Medium,Micro Store - Main,2010,1520
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,3375
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,5750
NS07,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,10000
NS06,1000,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,11800
CR12,20,Regular,Cracker,5,S003,Small,Micro Store C,2016,15
CR13,85,Regular,Cracker,13,V001,Medium,Micro Store - Main,2010,91
NS11,500,Low,Nuts,100,V001,Medium,Micro Store - Main,2010,2000
CH02,100,High,Chicharon,35,S003,Small,Micro Store C,2016,70
NS09,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,2040
CH08,500,High,Chicharon,100,S003,Small,Micro Store C,2016,1600
CH01,1000,High,Chicharon,190,V001,Medium,Micro Store - Main,2010,570
CH03,50,High,Chicharon,20,S003,Small,Micro Store C,2016,240
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,165
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,6125
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,225
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,3625
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,6500
NS01,500,Low,Nuts,95,S003,Small,Micro Store C,2016,4655
NS05,500,Low,Nuts,90,V001,Medium,Micro Store - Main,2010,1890
NS03,500,Low,Nuts,80,S003,Small,Micro Store C,2016,4080
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,6375
NS02,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,2125
NS07,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,6600
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,1378
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,441
NS11,500,Low,Nuts,100,V001,Medium,Micro Store - Main,2010,5400
CH01,1000,High,Chicharon,190,L002,Small,Micro Store B,2014,9880
CH02,100,High,Chicharon,35,V001,Medium,Micro Store - Main,2010,945
NS09,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,510
CH08,500,High,Chicharon,100,S003,Small,Micro Store C,2016,6200
NS05,500,Low,Nuts,90,V001,Medium,Micro Store - Main,2010,4860
CR14,100,Regular,Cracker,53,S003,Small,Micro Store C,2016,1802
CH01,1000,High,Chicharon,190,S003,Small,Micro Store C,2016,4560
CH03,50,High,Chicharon,20,L002,Small,Micro Store B,2014,460
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,435
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,4000
CR09,700,Regular,Cracker,140,L002,Small,Micro Store B,2014,8820
CR14,100,Regular,Cracker,53,S003,Small,Micro Store C,2016,1590
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,5180
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,5875
NS02,500,Low,Nuts,85,S003,Small,Micro Store C,2016,2805
NS07,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,8200
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,147
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,1272
CR13,85,Regular,Cracker,13,V001,Medium,Micro Store - Main,2010,286
CH01,1000,High,Chicharon,190,S003,Small,Micro Store C,2016,11020
CH02,100,High,Chicharon,35,V001,Medium,Micro Store - Main,2010,455
NS09,500,Low,Nuts,85,V001,Medium,Micro Store - Main,2010,5355
CH08,500,High,Chicharon,100,S003,Small,Micro Store C,2016,3600
NS07,500,Low,Nuts,200,S003,Small,Micro Store C,2016,10400
NS10,500,Low,Nuts,145,L002,Small,Micro Store B,2014,4930
BR06,600,Low,Bread,125,V001,Medium,Micro Store - Main,2010,250
BI03,1500,Low,Biscuit,290,V001,Medium,Micro Store - Main,2010,1160
BR08,500,Low,Bread,125,L002,Small,Micro Store B,2014,2375
NS11,500,Low,Nuts,100,S003,Small,Micro Store C,2016,4600
CR13,85,Regular,Cracker,13,S003,Small,Micro Store C,2016,611
NS10,500,Low,Nuts,145,S003,Small,Micro Store C,2016,9280
BR06,600,Low,Bread,125,V001,Medium,Micro Store - Main,2010,2625
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,11285
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,645
BR04,380,Low,Bread,125,L002,Small,Micro Store B,2014,4750
CR13,85,Regular,Cracker,290,V001,Medium,Micro Store - Main,2010,18850
BI01,2000,Low,Biscuit,80,S003,Small,Micro Store C,2016,3760
NS10,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,600
BR06,600,Low,Bread,135,S003,Small,Micro Store C,2016,8640
CH05,200,High,Chicharon,75,S003,Small,Micro Store C,2016,1350
NS01,500,Low,Nuts,95,L002,Small,Micro Store B,2014,3230
CR05,1000,Regular,Cracker,180,V001,Medium,Micro Store - Main,2010,6300
CR15,25,Regular,Cracker,7,L002,Small,Micro Store B,2014,119
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,465
NS08,500,Low,Nuts,135,S003,Small,Micro Store C,2016,1755
CH04,150,High,Chicharon,100,V001,Medium,Micro Store - Main,2010,3500
NS06,1000,Low,Nuts,200,S003,Small,Micro Store C,2016,8000
NS10,500,Low,Nuts,145,V001,Medium,Micro Store - Main,2010,2175
CH08,500,High,Chicharon,100,S003,Small,Micro Store C,2016,500
NS12,500,Low,Nuts,75,S003,Small,Micro Store C,2016,2100
NS13,150,Low,Nuts,75,L002,Small,Micro Store B,2014,2100
CH02,100,High,Chicharon,35,V001,Medium,Micro Store - Main,2010,2205
CR01,1000,Regular,Cracker,195,V001,Medium,Micro Store - Main,2010,3120
CR05,1000,Regular,Cracker,180,L002,Small,Micro Store B,2014,6840
CR09,700,Regular,Cracker,140,S003,Small,Micro Store C,2016,5740
CH05,200,High,Chicharon,185,V001,Medium,Micro Store - Main,2010,6475
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,2250
BR05,420,Low,Bread,125,S003,Small,Micro Store C,2016,3500
NS03,500,Low,Nuts,80,V001,Medium,Micro Store - Main,2010,3040
NS07,500,Low,Nuts,200,L002,Small,Micro Store B,2014,9800
NS08,500,Low,Nuts,135,V001,Medium,Micro Store - Main,2010,1890
NS12,500,Low,Nuts,75,V001,Medium,Micro Store - Main,2010,975
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,10730
CH07,150,High,Chicharon,15,S003,Small,Micro Store C,2016,975
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,3125
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,6250
CR13,85,Regular,Cracker,290,L002,Small,Micro Store B,2014,18850
BI01,2000,Low,Biscuit,80,V001,Medium,Micro Store - Main,2010,3520
NS10,500,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,11600
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,245
CH05,200,High,Chicharon,75,V001,Medium,Micro Store - Main,2010,2325
NS05,500,Low,Nuts,90,V001,Medium,Micro Store - Main,2010,5580
NS06,1000,Low,Nuts,200,S003,Small,Micro Store C,2016,5200
CR12,20,Regular,Cracker,5,S003,Small,Micro Store C,2016,225
CR13,85,Regular,Cracker,13,S003,Small,Micro Store C,2016,416
NS11,500,Low,Nuts,100,V001,Medium,Micro Store - Main,2010,5800
CH01,1000,High,Chicharon,190,S003,Small,Micro Store C,2016,5510
CH02,100,High,Chicharon,35,V001,Medium,Micro Store - Main,2010,1750
NS09,500,Low,Nuts,85,L002,Small,Micro Store B,2014,1360
CH08,500,High,Chicharon,100,L002,Small,Micro Store B,2014,2800
CH01,1000,High,Chicharon,190,S003,Small,Micro Store C,2016,11210
CH03,50,High,Chicharon,20,S003,Small,Micro Store C,2016,1140
CR15,25,Regular,Cracker,7,L002,Small,Micro Store B,2014,245
CH05,200,High,Chicharon,185,V001,Medium,Micro Store - Main,2010,10360
CH07,150,High,Chicharon,15,V001,Medium,Micro Store - Main,2010,795
BR04,380,Low,Bread,125,S003,Small,Micro Store C,2016,8125
CR13,85,Regular,Cracker,290,S003,Small,Micro Store C,2016,11600
BI01,2000,Low,Biscuit,80,V001,Medium,Micro Store - Main,2010,4160
CR09,700,Regular,Cracker,140,S003,Small,Micro Store C,2016,3220
CH05,200,High,Chicharon,185,V001,Medium,Micro Store - Main,2010,10545
BR04,380,Low,Bread,125,V001,Medium,Micro Store - Main,2010,7750
BR05,420,Low,Bread,125,V001,Medium,Micro Store - Main,2010,4250
CR13,85,Regular,Cracker,290,S003,Small,Micro Store C,2016,17980
CR15,25,Regular,Cracker,7,S003,Small,Micro Store C,2016,378
NS06,1000,Low,Nuts,200,S003,Small,Micro Store C,2016,9400
NS10,500,Low,Nuts,145,V001,Medium,Micro Store - Main,2010,5220
CR08,1000,Regular,Cracker,150,L002,Small,Micro Store B,2014,7650
CR14,100,Regular,Cracker,53,V001,Medium,Micro Store - Main,2010,1537
CH05,200,High,Chicharon,185,S003,Small,Micro Store C,2016,9250
NS12,500,Low,Nuts,75,S003,Small,Micro Store C,2016,1800
CR02,500,Regular,Cracker,98,V001,Medium,Micro Store - Main,2010,1470
BR02,480,Low,Bread,125,L002,Small,Micro Store B,2014,7625
BR01,400,Low,Bread,125,L002,Small,Micro Store B,2014,1875
CH05,200,High,Chicharon,185,V001,Medium,Micro Store - Main,2010,6660
CR08,1000,Regular,Cracker,150,V001,Medium,Micro Store - Main,2010,3600
CR15,25,Regular,Cracker,7,V001,Medium,Micro Store - Main,2010,147
CH04,150,High,Chicharon,100,S003,Small,Micro Store C,2016,3000
NS06,1000,Low,Nuts,200,V001,Medium,Micro Store - Main,2010,10200
NS10,500,Low,Nuts,145,S003,Small,Micro Store C,2016,2465
BR05,420,Low,Bread,125,L002,Small,Micro Store B,2014,4625
BI03,1500,Low,Biscuit,290,V001,Medium,Micro Store - Main,2010,12180
NS07,500,Low,Nuts,200,L002,Small,Micro Store B,2014,8600
